T lambda
10.0 16.429702741889333
30.1010101010101 16.22873483229145
50.2020202020202 16.028961230481297
70.3030303030303 15.830405918854236
90.4040404040404 15.633092879805625
110.5050505050505 15.437046095730851
130.6060606060606 15.242289549025278
150.7070707070707 15.048847222084271
170.8080808080808 14.856743097303202
190.9090909090909 14.666001157077446
211.010101010101 14.476645383802369
231.11111111111111 14.288699759873337
251.21212121212122 14.102188267685728
271.3131313131313 13.91713488963491
291.4141414141414 13.733563608116247
311.5151515151515 13.551498405525113
331.6161616161616 13.370963264256885
351.7171717171717 13.191982166706916
371.8181818181818 13.014579095270587
391.9191919191919 12.838778032343273
412.020202020202 12.664602960320329
432.1212121212121 12.492077861597139
452.22222222222223 12.321226718569061
472.32323232323233 12.152073513631477
492.42424242424244 11.984642229179746
512.5252525252525 11.818956847609243
532.6262626262626 11.655041351315342
552.7272727272727 11.492919722693406
572.8282828282828 11.332615944138805
592.929292929293 11.174153998046911
613.030303030303 11.0175578668131
633.1313131313132 10.862851532832728
653.2323232323232 10.710058978501177
673.3333333333334 10.55920418621381
693.4343434343434 10.410311138366001
713.5353535353536 10.263403817353115
733.6363636363636 10.118506205570533
753.7373737373738 9.975642285413613
773.8383838383838 9.834836039277723
793.939393939394 9.696111449558243
814.040404040404 9.559492498650547
834.1414141414141 9.425003168949987
854.2424242424242 9.292667442851943
874.3434343434343 9.162509302751792
894.4444444444445 9.034552731044887
914.5454545454545 8.90882171012661
934.6464646464647 8.78534022239233
954.7474747474747 8.664132250237415
974.8484848484849 8.54522177605723
994.9494949494949 8.428632782247153
1015.0505050505051 8.31438925120255
1035.1515151515152 8.202515165318793
1055.2525252525252 8.093034506991248
1075.3535353535353 7.985971258615289
1095.4545454545455 7.881349402586282
1115.5555555555557 7.7791929212996
1135.6565656565656 7.679525797150612
1155.7575757575758 7.5823720125346865
1175.858585858586 7.487755549847197
1195.959595959596 7.395700391483508
1216.060606060606 7.3062305198389925
1236.1616161616162 7.219369917309022
1256.2626262626263 7.1351425662889625
1276.3636363636363 7.053572449174188
1296.4646464646464 6.974683548360065
1316.5656565656566 6.898499846241965
1336.6666666666667 6.825045325215256
1356.7676767676767 6.754343967675313
1376.8686868686868 6.686419756017498
1396.969696969697 6.621296672637186
1417.0707070707072 6.558998699929748
1437.171717171717 6.499549820290552
1457.2727272727273 6.442974016114966
1477.3737373737374 6.389295269798362
1497.4747474747476 6.33853756373611
1517.5757575757575 6.290724880323579
1537.6767676767677 6.2458812019561405
1557.7777777777778 6.2040305110291625
1577.878787878788 6.165196789938014
1597.979797979798 6.129404021078068
1618.080808080808 6.096676186844693
1638.1818181818182 6.067037269633258
1658.2828282828282 6.040511251839134
1678.3838383838383 6.01712211585769
1698.4848484848485 5.996893844084297
1718.5858585858587 5.979850418914322
1738.6868686868686 5.966015822743139
1758.7878787878788 5.955414037966116
1778.888888888889 5.948069046978622
1798.989898989899 5.944004832176028
1819.090909090909 5.943245375953704
1839.1919191919192 5.945814660707019
1859.2929292929293 5.951736668831343
1879.3939393939395 5.961035382722047
1899.4949494949494 5.973734784774498
1919.5959595959596 5.989858857384071
1939.6969696969697 6.0094315829461316
1959.79797979798 6.032476943856051
1979.8989898989898 6.059018922509198
2000.0 6.089081501300944
